Time end=2026-01-23 17:40:43; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=26100; num_fit_par=9; runtime in seconds=347.320365083; runtime in hours=0.09647787918972223; CPUs per iteration=0.05322917472536399; what_stat=multipoles
Time end=2026-01-23 17:54:24; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=27500; num_fit_par=9; runtime in seconds=353.076517458; runtime in hours=0.098076810405; CPUs per iteration=0.051356584357527275; what_stat=multipoles
Time end=2026-01-23 18:35:03; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=26300; num_fit_par=9; runtime in seconds=345.82061024999996; runtime in hours=0.096061280625; CPUs per iteration=0.05259629053231939; what_stat=multipoles
Time end=2026-02-24 15:52:31; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=41700; num_fit_par=9; runtime in seconds=553.788234541; runtime in hours=0.15383006515027775; CPUs per iteration=0.05312117357707433; what_stat=multipoles
Time end=2026-02-24 16:10:41; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=35900; num_fit_par=9; runtime in seconds=478.492318583; runtime in hours=0.13291453293972222; CPUs per iteration=0.05331390736300835; what_stat=multipoles
Time end=2026-02-24 18:28:04; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=46500; num_fit_par=9; runtime in seconds=617.960609584; runtime in hours=0.17165572488444447; CPUs per iteration=0.05315790189969893; what_stat=multipoles
Time end=2026-02-24 18:40:14; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=43500; num_fit_par=9; runtime in seconds=580.474837833; runtime in hours=0.16124301050916667; CPUs per iteration=0.05337699658234483; what_stat=multipoles
Time end=2026-03-03 12:03:02; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=52500; num_fit_par=9; runtime in seconds=1180.2576670420003; runtime in hours=0.3278493519561112; CPUs per iteration=0.08992439367939051; what_stat=multipoles
Time end=2026-03-03 13:51:16; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=51700; num_fit_par=9; runtime in seconds=1183.128979125; runtime in hours=0.3286469386458333; CPUs per iteration=0.09153802546421663; what_stat=multipoles
Time end=2026-03-03 18:20:52; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=36900; num_fit_par=9; runtime in seconds=779.1593130419988; runtime in hours=0.21643314251166632; CPUs per iteration=0.08446171415089418; what_stat=wedges
Time end=2026-03-03 18:32:55; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=32200; num_fit_par=9; runtime in seconds=676.169411040999; runtime in hours=0.1878248364002775; CPUs per iteration=0.08399620012931665; what_stat=wedges
